Database: mbFirstStudy
Exercise: 6
Age classes: [2,11], [12,21], [22,31], [32,41], [42,51], [52,61], [62,71], [72,81], 
Gender: -
Dominant hand: -
Session hand: -

userID;gender;dominantHand;age
MB_SZ_02_a2c1aa76;10a91d816fa0f7b9bcde1740d124bd6f;3;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.7648456;0.9076923;13
MB_AM_14_5dc6f07c;113249f6579fdb7cbe5f85a8b48a769c;1;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.590847;0.8875;16
MB_AM_14_5dc6f07c;113249f6579fdb7cbe5f85a8b48a769c;2;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.595356;0.925;16
MB_AM_14_5dc6f07c;113249f6579fdb7cbe5f85a8b48a769c;3;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5973778;1;16
MB_AB_13_3a601ab1;1183919935e213af5574a29ead9442ac;1;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.4626174;0.8;21
MB_AB_13_3a601ab1;1183919935e213af5574a29ead9442ac;2;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.4484308;0.8636364;22
MB_AB_13_3a601ab1;1183919935e213af5574a29ead9442ac;3;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.4318025;0.7565218;23
MB_AC_15_2b6a8793;118e81a4599212a5ef21c817d18d5304;1;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4837631;0.55;20
MB_AC_15_2b6a8793;118e81a4599212a5ef21c817d18d5304;2;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4753479;0.52;20
MB_AC_15_2b6a8793;118e81a4599212a5ef21c817d18d5304;3;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4989197;0.5;20
MB_AP_09_932055ed;11f313046b92f2045d3d37e914948618;1;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.4989945;0.7157895;19
MB_AP_09_932055ed;11f313046b92f2045d3d37e914948618;2;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.4979919;0.82;20
MB_AP_09_932055ed;11f313046b92f2045d3d37e914948618;3;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.4913452;0.82;20
MB_AC_02_7c62024a;12b50de73edb6483183fbf4499f388cf;1;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.487204;0.73;20
MB_AC_02_7c62024a;12b50de73edb6483183fbf4499f388cf;2;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4696481;0.552381;21
MB_AC_02_7c62024a;12b50de73edb6483183fbf4499f388cf;3;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4735979;0.4095238;21
MB_SZ_06_77c6f72e;153647399fcd48a14048bf7c9c7df7a6;1;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.4731111;0.6095238;21
MB_SZ_06_77c6f72e;153647399fcd48a14048bf7c9c7df7a6;2;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.4927336;0.5789474;19
MB_SZ_06_77c6f72e;153647399fcd48a14048bf7c9c7df7a6;3;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.4762715;0.7;20
MP_AP_01_40f307c6;168b49b8d4f18a9809307fdf99d2cfc8;1;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.4561869;0.6857143;21
MP_AP_01_40f307c6;168b49b8d4f18a9809307fdf99d2cfc8;2;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.4301307;0.7043478;23
MP_AP_01_40f307c6;168b49b8d4f18a9809307fdf99d2cfc8;3;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.4452085;0.7727273;22
MB_AM_13_5796a87a;169db5b82dd09e39d58c79277416c694;1;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5388963;0.5888889;18
MB_AM_13_5796a87a;169db5b82dd09e39d58c79277416c694;2;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5275404;0.7444444;18
